,Specs,Details
0,Displacement,149cc
1,Cylinders,Single Cylinder
2,Max Power,9.7 kW (13.1PS) / 8000 rpm
3,Maximum Torque,12.8 N.m (1.3 kg f.m) / 6000 rpm)
4,Bore,57.3mm
5,Stroke,57.9mm
6,Valves Per Cylinder,2-valve
7,Compression Ratio,9.5:1
8,Fuel Delivery System,Fuel injection
9,No. of Gears,5
10,Transmission Type,"Constant mesh, 5-speed"
11,Clutch,"Wet, multiple disc"
12,Front Brake Type,Disc
13,Rear Brake Type,Drum
14,Front Tyre Size,100/80-17M/C (52P)NYLOGRIP ZAPPER-FX1
15,Rear Tyre Size,140/60-R17M/C (63P)revz-Y
16,Tyre Type,Tubless
17,Front Suspension,Telescopic fork
18,Rear Suspension,Monocross
19,Kerb Weight,133 kg
20,Overall Length,2060 cm
21,Overall Width,770 cm
22,Overall Height,1050 cm
23,Wheelbase,"1,330 mm"
24,Ground Clearance,160 mm
25,Seat Height,790 mm
26,Chassis Type,Diamond
27,Fuel Tank Capacity,12 L
28,Low Fuel Indicator,Equipped
29,Start Type,Electric Starter
30,Battery,"12V, 4.0AH (10H), Sealed type"
31,Headlight Type,Headlight
32,Turn Signal,"12V, 10W x 2"
